customer_id,customer_name,region_id,industry,segment,company_size,current_seats,seat_utilization_percent
1,Customer_1,3,Education,SMB,Large,877,83
2,Customer_2,3,Finance,SMB,Large,1382,82
3,Customer_3,2,Finance,Mid-Market,Strategic,634,56
4,Customer_4,3,Technology,Enterprise,Small,2261,63
5,Customer_5,3,Technology,Enterprise,Large,2634,86
6,Customer_6,4,Manufacturing,Mid-Market,Medium,1791,98
7,Customer_7,2,Manufacturing,SMB,Large,2219,52
8,Customer_8,4,Healthcare,Enterprise,Medium,4838,89
9,Customer_9,1,Technology,Enterprise,Medium,4224,98
10,Customer_10,1,Education,Mid-Market,Strategic,1360,89
11,Customer_11,1,Manufacturing,SMB,Small,4384,67
12,Customer_12,3,Technology,Mid-Market,Strategic,4448,69
13,Customer_13,1,Manufacturing,SMB,Large,1345,93
14,Customer_14,1,Manufacturing,Mid-Market,Medium,4150,57
15,Customer_15,2,Retail,SMB,Small,1302,82
16,Customer_16,4,Technology,Enterprise,Large,4956,76
17,Customer_17,1,Finance,SMB,Small,2569,65
18,Customer_18,1,Retail,Enterprise,Medium,751,97
19,Customer_19,3,Retail,SMB,Strategic,3943,56
20,Customer_20,3,Education,SMB,Large,1785,60
21,Customer_21,1,Finance,Enterprise,Small,3638,92
22,Customer_22,2,Retail,Enterprise,Small,2819,37
23,Customer_23,2,Technology,Enterprise,Large,631,42
24,Customer_24,2,Healthcare,SMB,Strategic,630,100
25,Customer_25,4,Finance,Mid-Market,Strategic,1805,51
26,Customer_26,1,Manufacturing,Mid-Market,Large,1609,47
27,Customer_27,4,Manufacturing,Enterprise,Small,3519,87
28,Customer_28,3,Technology,Enterprise,Medium,546,86
29,Customer_29,2,Education,Enterprise,Large,1608,92
30,Customer_30,1,Education,SMB,Small,3839,66
31,Customer_31,1,Finance,Enterprise,Strategic,464,36
32,Customer_32,2,Education,Enterprise,Medium,4028,96
33,Customer_33,4,Healthcare,Mid-Market,Large,3154,35
34,Customer_34,2,Finance,Mid-Market,Medium,3515,97
35,Customer_35,3,Technology,Enterprise,Strategic,529,42
36,Customer_36,1,Retail,Enterprise,Medium,4169,55
37,Customer_37,2,Education,Enterprise,Medium,611,43
38,Customer_38,1,Education,SMB,Large,4792,40
39,Customer_39,3,Finance,Mid-Market,Strategic,2186,61
40,Customer_40,4,Healthcare,Enterprise,Small,1122,73
41,Customer_41,1,Retail,Enterprise,Large,3804,47
42,Customer_42,1,Finance,Mid-Market,Large,1135,79
43,Customer_43,3,Retail,SMB,Small,1342,91
44,Customer_44,1,Finance,Mid-Market,Small,4593,73
45,Customer_45,3,Healthcare,SMB,Medium,926,54
46,Customer_46,3,Retail,Mid-Market,Large,2858,61
47,Customer_47,4,Healthcare,Enterprise,Small,466,46
48,Customer_48,3,Finance,SMB,Strategic,2782,51
49,Customer_49,1,Technology,Enterprise,Medium,4569,89
50,Customer_50,3,Retail,SMB,Medium,4519,39
51,Customer_51,1,Healthcare,Mid-Market,Small,3570,51
52,Customer_52,2,Manufacturing,Enterprise,Large,2981,61
53,Customer_53,2,Finance,Enterprise,Medium,4636,87
54,Customer_54,2,Manufacturing,Mid-Market,Strategic,3427,38
55,Customer_55,2,Manufacturing,Enterprise,Strategic,2082,69
56,Customer_56,2,Finance,Mid-Market,Large,367,95
57,Customer_57,2,Technology,SMB,Medium,2550,64
58,Customer_58,3,Technology,Mid-Market,Large,3314,77
59,Customer_59,3,Technology,Enterprise,Large,4223,86
60,Customer_60,1,Technology,SMB,Strategic,1512,68
61,Customer_61,4,Retail,SMB,Small,2881,75
62,Customer_62,3,Technology,SMB,Strategic,3205,59
63,Customer_63,3,Education,Enterprise,Large,63,60
64,Customer_64,3,Retail,Mid-Market,Strategic,2621,50
65,Customer_65,3,Retail,Enterprise,Medium,2722,86
66,Customer_66,2,Retail,SMB,Large,3494,83
67,Customer_67,3,Healthcare,Enterprise,Strategic,3376,35
68,Customer_68,4,Education,Mid-Market,Medium,4801,76
69,Customer_69,2,Manufacturing,Enterprise,Large,4237,95
70,Customer_70,1,Finance,SMB,Large,4272,77
71,Customer_71,2,Technology,Enterprise,Medium,1890,60
72,Customer_72,4,Education,SMB,Medium,3942,44
73,Customer_73,4,Finance,Enterprise,Small,3195,98
74,Customer_74,2,Finance,SMB,Strategic,923,89
75,Customer_75,1,Education,Enterprise,Strategic,461,66
