booking_id,contract_id,customer_id,product_id,booking_date,booking_amount,booking_status
1,2723,721,5,2025-07-13,17817,Cancelled
2,2562,524,5,2025-07-15,102657,Pending
3,202,1126,5,2025-05-01,101543,Completed
4,7637,330,5,2025-02-24,26394,Pending
5,2509,451,1,2025-03-26,109769,Completed
6,6148,830,4,2025-10-13,97325,Completed
7,6495,1380,2,2025-06-02,62752,Pending
8,1386,310,2,2025-08-01,46539,Cancelled
9,7695,1841,2,2025-01-31,55289,Completed
10,7467,1276,1,2025-05-22,16155,Cancelled
11,6552,107,4,2025-07-24,141101,Completed
12,1437,1802,3,2025-02-15,144648,Cancelled
13,6715,1185,2,2025-08-30,88305,Completed
14,5902,1633,3,2025-04-02,42204,Cancelled
15,5863,68,2,2025-03-12,54323,Pending
16,7501,1026,2,2025-09-10,101896,Completed
17,273,216,1,2025-05-08,84777,Cancelled
18,5030,1272,3,2025-07-27,46156,Pending
19,1459,1561,4,2025-06-13,69953,Completed
20,4503,1402,3,2025-06-13,7043,Cancelled
21,7805,1450,3,2025-05-19,14423,Pending
22,5891,1953,3,2025-06-01,40102,Completed
23,3398,1538,5,2025-07-15,28802,Completed
24,7953,369,4,2025-07-08,83851,Pending
25,1844,1796,5,2025-02-19,125738,Pending
26,6430,394,1,2025-04-07,88087,Completed
27,7422,868,1,2025-07-08,85412,Cancelled
28,4830,7,4,2025-07-10,23475,Completed
29,2307,325,4,2025-03-13,133297,Completed
30,6019,1118,1,2025-08-16,26764,Cancelled
31,90,941,3,2025-07-27,81818,Completed
32,5174,814,2,2025-05-17,50409,Pending
33,1419,1281,5,2025-09-06,59455,Completed
34,3126,723,1,2025-08-18,105295,Cancelled
35,4927,1529,1,2025-03-17,83435,Pending
36,327,869,1,2025-05-02,147692,Cancelled
37,7331,1676,5,2025-05-23,12352,Cancelled
38,1119,406,4,2025-03-11,83947,Cancelled
39,800,820,4,2025-05-02,77941,Completed
40,3800,1013,3,2025-03-15,63834,Cancelled
