opportunity_id,customer_id,product_id,account_manager_id,stage_id,contract_type_id,opportunity_type,expected_value,probability_percent,renewal_date,created_date
1,164,3,18,5,1,Renewal,249766,56,2025-12-02,2025-09-05
2,1611,4,8,5,1,Expansion,150932,41,2026-01-23,2025-07-28
3,283,5,9,3,2,Renewal,92272,25,2025-06-25,2025-02-11
4,1035,2,19,4,3,New,241064,35,2025-08-27,2025-04-03
5,342,1,14,3,3,New,196484,70,2025-04-24,2025-02-21
6,1708,4,1,2,1,Renewal,44702,75,2026-02-05,2025-09-29
7,726,2,13,5,1,Renewal,196642,47,2025-06-26,2025-03-02
8,1212,5,20,1,3,Renewal,21858,19,2025-11-22,2025-07-01
9,1292,4,24,4,2,Expansion,208616,71,2025-05-25,2025-03-10
10,1569,5,30,5,1,Renewal,49913,10,2025-12-02,2025-07-09
11,657,4,6,5,3,Renewal,164161,45,2025-05-19,2025-02-19
12,1011,3,2,5,3,Renewal,245222,77,2026-04-02,2025-10-24
13,585,3,13,3,1,Expansion,47538,15,2025-09-05,2025-04-18
14,570,5,29,5,2,New,36074,54,2025-08-06,2025-05-26
15,590,3,16,4,1,Expansion,242088,31,2025-09-01,2025-05-28
16,1544,1,30,2,3,Expansion,83040,28,2025-05-12,2025-02-19
17,1718,5,25,2,1,New,166864,15,2026-03-20,2025-10-04
18,14,4,27,1,2,Expansion,63252,46,2026-03-08,2025-10-20
19,912,5,5,4,2,Renewal,38734,25,2026-01-03,2025-08-16
20,539,1,28,2,2,New,201793,95,2025-06-29,2025-03-01
21,1525,2,24,1,2,Renewal,51085,74,2025-09-29,2025-06-21
22,1292,5,22,1,3,New,190338,50,2025-06-09,2025-01-20
23,1910,5,11,2,3,New,183311,90,2025-02-20,2025-01-19
24,281,5,13,2,3,Renewal,61295,43,2025-11-05,2025-08-29
25,1667,2,24,4,2,Expansion,44548,35,2025-07-27,2025-02-15
26,1535,2,1,4,1,New,138631,81,2025-07-01,2025-04-17
27,857,3,20,4,3,Expansion,163065,40,2025-11-28,2025-06-28
28,1346,2,29,3,1,Expansion,239386,47,2026-02-08,2025-09-06
29,804,5,12,5,2,Renewal,87441,22,2025-06-20,2025-04-23
30,860,4,11,2,3,Renewal,121375,24,2025-08-27,2025-04-01
31,1353,1,12,4,3,Expansion,43569,71,2026-01-21,2025-09-08
32,481,1,10,3,3,Renewal,66388,62,2025-07-24,2025-02-01
33,536,3,14,4,2,Renewal,121463,61,2025-06-26,2025-05-14
34,995,2,11,1,2,New,127345,62,2025-10-17,2025-04-24
35,1098,2,25,1,3,New,170104,52,2025-08-23,2025-03-08
36,1947,1,26,4,1,New,214585,52,2025-12-18,2025-06-30
37,1342,1,17,2,2,Renewal,150370,35,2025-09-05,2025-03-22
38,1761,2,10,2,2,Expansion,96901,62,2025-10-09,2025-04-21
39,510,1,2,1,3,New,36875,74,2025-12-24,2025-07-23
40,322,3,10,1,1,Expansion,175558,41,2025-04-27,2025-01-18
41,254,4,21,4,1,New,224511,44,2025-04-03,2025-02-13
42,1034,4,1,1,3,Expansion,227645,79,2025-05-12,2025-03-19
43,1205,4,7,5,2,Expansion,215723,51,2026-01-14,2025-08-06
44,48,3,9,4,1,Renewal,36130,43,2026-03-22,2025-10-23
45,597,4,3,2,2,Expansion,157061,45,2025-12-16,2025-09-05
46,1093,5,8,4,1,Expansion,140294,60,2025-12-26,2025-07-10
47,222,4,8,5,1,Renewal,114162,39,2025-12-19,2025-08-17
48,1154,1,21,3,2,Expansion,47688,90,2025-04-07,2025-02-12
49,347,2,28,4,3,Expansion,75527,20,2025-07-25,2025-03-14
50,1717,4,17,5,1,Renewal,25448,73,2025-09-22,2025-05-10
51,1517,3,27,2,1,Renewal,94264,82,2025-08-28,2025-07-28
52,1414,2,25,5,2,Renewal,153022,73,2025-09-08,2025-06-10
53,945,4,17,5,3,Expansion,202169,20,2025-07-11,2025-02-23
54,159,4,5,1,1,Renewal,146298,25,2025-06-15,2025-03-27
55,1782,1,2,4,2,New,54753,90,2026-02-27,2025-09-26
56,1534,5,14,4,1,Expansion,87791,25,2025-11-24,2025-08-11
57,1889,3,17,3,3,New,243188,57,2025-12-27,2025-10-16
58,595,5,22,2,3,Renewal,197295,57,2025-12-26,2025-09-23
59,948,2,30,3,3,Expansion,198777,27,2025-09-06,2025-03-26
60,1699,4,1,3,2,New,56982,29,2025-10-15,2025-08-29
61,639,2,7,1,3,Expansion,130217,52,2025-04-04,2025-02-18
62,960,5,6,1,2,Expansion,176813,81,2025-08-22,2025-04-26
63,29,2,9,3,2,Renewal,163214,49,2025-11-18,2025-07-08
64,1150,5,21,2,1,Renewal,165356,29,2025-05-18,2025-02-22
65,366,3,19,1,1,Renewal,218898,76,2026-03-05,2025-10-28
66,1179,5,20,3,3,New,238415,88,2025-11-22,2025-08-31
67,6,2,7,1,3,New,48401,28,2025-08-24,2025-03-26
68,663,1,29,1,1,Renewal,144140,66,2026-01-03,2025-08-06
69,620,5,25,1,1,Expansion,156838,60,2025-11-18,2025-07-13
70,972,3,10,5,2,Expansion,149116,20,2025-07-01,2025-04-20
71,1708,3,23,2,2,Expansion,156928,66,2025-12-11,2025-09-08
72,247,5,29,4,3,Renewal,101273,32,2025-05-16,2025-01-13
73,1579,3,24,4,1,Renewal,171736,81,2025-08-13,2025-04-08
74,367,1,7,4,2,Renewal,147888,34,2025-07-02,2025-01-03
75,673,1,30,3,2,Expansion,141804,11,2025-06-27,2025-05-20
76,564,4,13,1,3,Expansion,194618,42,2025-07-04,2025-05-21
77,1687,1,28,4,3,Renewal,175737,68,2025-11-22,2025-09-09
78,1536,5,26,1,1,New,106871,13,2025-06-03,2025-03-20
79,170,4,27,1,1,New,126228,91,2025-05-22,2025-02-01
80,1757,5,9,2,3,Expansion,170957,12,2025-10-09,2025-06-20
81,347,5,24,3,3,Expansion,13714,95,2025-12-09,2025-07-26
82,1372,1,3,2,3,Renewal,48669,44,2025-04-27,2025-02-12
83,92,3,20,2,3,Renewal,142504,62,2025-04-29,2025-03-30
84,561,5,12,1,2,Renewal,132225,82,2025-08-07,2025-02-14
85,181,1,30,1,1,Expansion,201247,21,2025-07-26,2025-04-06
86,1284,1,25,2,1,New,67023,91,2025-12-05,2025-07-11
87,1797,2,10,2,3,Renewal,208136,26,2025-07-21,2025-06-08
88,1446,3,6,3,1,New,158121,50,2025-10-26,2025-07-31
89,559,2,6,3,2,Renewal,192860,66,2025-07-08,2025-05-16
90,728,5,12,3,3,Expansion,147112,67,2025-05-07,2025-03-29
91,790,2,18,5,1,New,194074,65,2025-10-08,2025-06-27
92,701,5,18,3,1,Renewal,144551,36,2025-08-06,2025-05-13
93,535,1,30,1,3,New,182577,90,2025-09-04,2025-04-06
94,957,5,11,3,3,Expansion,109066,94,2025-05-10,2025-01-18
95,215,3,28,1,1,Expansion,120469,70,2025-10-15,2025-06-21
96,1850,1,6,3,2,New,52662,69,2025-12-23,2025-10-07
97,900,5,15,5,3,New,192058,65,2025-12-22,2025-07-24
98,518,3,20,3,2,New,187879,61,2025-07-13,2025-06-03
99,1563,5,4,4,2,Expansion,212918,44,2026-03-04,2025-10-23
100,59,2,17,2,2,Expansion,242415,86,2025-12-15,2025-09-26
101,1540,2,5,3,1,Renewal,33697,49,2025-07-10,2025-03-14
102,811,2,15,1,3,Renewal,48663,35,2025-07-15,2025-03-30
103,165,2,8,2,2,Renewal,33636,41,2025-09-08,2025-03-20
104,11,4,6,3,1,Renewal,133417,80,2025-10-13,2025-07-21
105,1369,4,27,4,3,Renewal,73633,22,2025-09-18,2025-07-18
106,1563,2,13,3,2,New,224903,64,2026-01-03,2025-07-21
107,711,4,22,5,1,Renewal,68115,87,2025-07-01,2025-04-02
108,742,3,17,1,3,New,167068,60,2025-05-08,2025-02-09
109,1024,2,2,2,2,Expansion,124137,21,2025-10-29,2025-06-23
110,369,4,5,3,2,Renewal,111401,71,2025-04-24,2025-01-18
111,368,2,13,5,1,Expansion,131876,20,2025-08-21,2025-06-27
112,1767,4,26,1,1,Renewal,93630,26,2026-03-30,2025-10-22
113,1406,4,1,4,3,Renewal,185687,61,2025-09-17,2025-08-05
114,871,3,24,1,3,Renewal,221582,67,2026-01-18,2025-09-15
115,1459,3,28,5,2,Renewal,39274,32,2026-01-19,2025-08-06
116,1783,1,5,1,2,Expansion,195483,85,2025-08-01,2025-05-13
117,1665,5,24,4,2,New,22725,69,2025-07-04,2025-05-25
118,1778,4,15,3,1,Renewal,243089,86,2025-10-11,2025-07-09
119,692,3,25,1,3,Renewal,80054,32,2025-09-29,2025-05-31
