usage_id,customer_id,product_id,usage_date,active_users,licensed_seats,utilization_percent
1,1849,3,2025-11-18,84,728,11.54
2,1808,1,2025-12-20,722,927,77.89
3,902,3,2025-04-13,3271,4540,72.05
4,151,4,2025-12-16,2765,3173,87.14
5,1358,1,2025-11-16,3601,3951,91.14
6,817,2,2025-04-21,2417,4285,56.41
7,1176,5,2025-10-09,329,3892,8.45
8,1655,2,2025-02-06,1758,2869,61.28
9,1617,1,2025-08-07,453,1628,27.83
10,720,1,2025-12-22,81,244,33.2
11,1005,4,2025-11-09,3808,4887,77.92
12,1955,5,2025-09-30,1428,3062,46.64
13,644,3,2025-07-26,803,4312,18.62
14,1181,5,2025-06-01,1024,1619,63.25
15,1158,2,2025-04-14,1705,2054,83.01
16,813,2,2025-12-16,236,3331,7.08
17,498,3,2025-07-04,750,2079,36.08
18,1659,5,2025-01-28,234,2076,11.27
19,1630,1,2025-08-23,282,2309,12.21
20,1021,1,2025-04-08,147,1150,12.78
21,131,3,2025-11-20,572,2280,25.09
22,684,2,2025-08-18,578,1586,36.44
23,639,3,2025-05-29,2217,3567,62.15
24,329,5,2025-04-16,776,1612,48.14
25,619,3,2025-11-16,1746,2305,75.75
26,1903,3,2025-11-17,64,488,13.11
27,1813,5,2025-06-25,142,1010,14.06
28,463,2,2025-06-05,1490,2627,56.72
29,898,1,2025-10-29,513,4473,11.47
30,283,3,2025-11-18,2218,3016,73.54
31,1764,2,2025-01-20,727,943,77.09
32,1002,2,2025-01-23,946,974,97.13
33,1975,4,2025-05-08,332,944,35.17
34,775,3,2025-01-17,934,4784,19.52
35,282,2,2025-10-01,322,335,96.12
36,1840,1,2025-11-27,1372,4091,33.54
37,1354,3,2025-09-05,3309,4814,68.74
38,1914,4,2025-04-01,328,1563,20.99
39,1949,5,2025-08-27,179,4567,3.92
40,93,2,2025-02-10,1094,2075,52.72
41,1890,4,2025-08-19,52,55,94.55
42,845,3,2025-06-26,2797,3432,81.5
43,413,3,2025-03-07,3582,4692,76.34
44,1338,1,2025-10-04,496,748,66.31
45,186,5,2025-11-13,968,1050,92.19
46,361,4,2025-07-06,186,555,33.51
47,481,2,2025-05-26,2014,2984,67.49
48,89,2,2025-04-25,1767,3832,46.11
49,1554,3,2025-04-17,1561,1621,96.3
50,1173,5,2025-11-18,403,1906,21.14
51,1109,3,2025-10-05,2566,4180,61.39
52,855,2,2025-01-15,3627,3825,94.82
53,51,3,2025-12-11,2103,3570,58.91
54,1779,2,2025-08-19,148,980,15.1
55,1571,1,2025-05-24,617,2043,30.2
56,597,4,2025-10-02,666,762,87.4
57,1198,3,2025-06-15,576,1517,37.97
58,650,2,2025-10-10,887,1062,83.52
59,425,1,2025-10-08,599,3226,18.57
60,1714,2,2025-10-12,1509,2673,56.45
61,1278,3,2025-03-13,759,1933,39.27
62,1686,2,2025-07-02,319,370,86.22
63,1187,5,2025-10-27,270,997,27.08
64,1992,4,2025-11-23,2932,3001,97.7
65,227,2,2025-06-06,2594,4396,59.01
66,505,3,2025-01-14,2145,2197,97.63
67,220,4,2025-03-24,1907,4148,45.97
68,1324,5,2025-12-06,2367,3464,68.33
69,1077,4,2025-01-08,299,847,35.3
70,550,3,2025-07-21,639,3425,18.66
71,1312,3,2025-05-28,545,4462,12.21
